Dag,Week,Baby Size Comparison,Partner Observation,Papa's Life Lesson,Meer informatie,Leuke dingen per dag,Image Idea,Citation
44,7,"Zo groot als een kikkererwt.","Ze heeft vandaag een intense, specifieke craving. Niet zomaar 'chocola', maar 'die ene reep met karamel en zeezout van dat ene merk'.","Word een detective. Jouw missie: vind de specifieke reep. Het succesvol volbrengen van deze missie levert je minimaal 24 uur aan goodwill op.","Cravings kunnen heel specifiek worden. De baby's kleine 'staartje' (een overblijfsel van de evolutie) begint nu te verdwijnen.","De baby verliest zijn staart. Hij wordt nu officieel meer mens dan kikkervisje. Een mijlpaal die gevierd moet worden met... chocola, blijkbaar.","Een kikkererwt die een klein staartje afwerpt.","https://www.oudersvannu.nl/zwanger/zwangerschap/zwangerschap-van-week-tot-week/8-weken-zwanger/"
45,7,"Zo groot als een kikkererwt.","Vandaag is ze weer duizelig. De wereld is een draaimolen en zij wil eruit.","Jouw standaardreactie wordt: 'Ga even zitten, schat. Ik pak een glas water.' Automatiseer dit. Het is je nieuwe basisprotocol.","De bloedsomloop past zich nog steeds aan. Het hart moet harder werken om bloed rond te pompen, wat duizeligheid kan veroorzaken. De baby's ellebogen kunnen nu buigen.","De baby kan nu zijn armen buigen. Hij oefent al voor zijn eerste 'kom maar op dan'-gebaar naar de buitenwereld.","Een kikkererwt die zijn kleine armpjes buigt als een bodybuilder.","https://www.babycenter.nl/a25004915/de-ontwikkeling-van-je-baby-8-weken-zwanger"
46,7,"Zo groot als een kikkererwt.","Ze heeft vandaag last van brandend maagzuur. Een vervelend, branderig gevoel. 'Alsof er een draak in m'n keel woont.'","Vla en droge crackers zijn je vrienden. Zet ze op het boodschappenlijstje. En houd de Rennies binnen handbereik.","Het hormoon progesteron verslapt de spieren, inclusief de sluitspier tussen de maag en de slokdarm. Hierdoor kan maagzuur makkelijker omhoog komen.","De toegangspoort van haar maag staat op een kiertje. En de zure bewoners van de maag proberen constant te ontsnappen.","Een kleine draak die uit de keel van een vrouw gluurt.","https://www.thuisarts.nl/zwanger/ik-ben-zwanger-en-heb-last-van-maagzuur"
47,7,"Zo groot als een kikkererwt.","Ze is vandaag extreem prikkelbaar. Je hebt het gevoel dat je over een mijnenveld loopt.","Loop op je tenen. En als er toch een bom ontploft, is jouw enige reactie: 'Sorry'. Waarvoor? Maakt niet uit. Gewoon 'sorry'.","De hormonale achtbaan is op zijn hoogtepunt. Prikkelbaarheid en stemmingswisselingen zijn intens. Het is niet persoonlijk.","Haar lontje is vandaag zo kort als de baby groot is. Extreem kort dus. Blijf uit de buurt van open vuur.","Een kikkererwt die boos met zijn armen over elkaar staat.","https://www.oudersvannu.nl/zwanger/zwangerschapskwalen/kort-lontje-tijdens-zwangerschap/"
48,7,"Zo groot als een kikkererwt.","Ze maakt zich zorgen over de eerste echo. 'Wat als er niks te zien is? Wat als het hartje niet klopt?'","Stel haar gerust. 'De kans is heel groot dat alles goed is. En wat er ook gebeurt, we doen het samen.' Dat laatste is het belangrijkst.","Zorgen voor de eerste echo zijn heel normaal. Het is het eerste moment van echte bevestiging. De hersenactiviteit van de baby begint nu.","De baby's hersenen zenden hun eerste signalen uit. Waarschijnlijk iets als: 'Maak je geen zorgen daarbuiten, ik heb het hier prima.'","Een kikkererwt met kleine bliksemschichtjes die uit zijn hoofd komen.","https://deverloskundige.nl/zwangerschap/subtekstpagina/24/echo-s/"
49,7,"Zo groot als een kikkererwt.","Ze voelt zich vandaag 'gewoon niet zwanger'. Geen misselijkheid, geen vermoeidheid. Dit zorgt voor paniek.","'Geniet er even van,' is het foute antwoord. Zeg: 'Symptomen komen en gaan, dat is normaal. Het betekent niks.'","Het is heel normaal dat symptomen fluctueren. Een dag zonder kwalen is geen slecht teken, maar kan wel voor onzekerheid zorgen.","De hormonen hebben vandaag een collectieve snipperdag genomen. Morgen zijn ze weer vol aan de bak.","Een kalender waar een dag is omcirkeld met 'Hormoon Vrije Dag'.","https://www.babycenter.nl/x25012297/is-het-normaal-dat-mijn-zwangerschapssymptomen-verdwijnen"
50,8,"Zo groot als een framboos. Of een M&M.","Vandaag is de dag dat ze het misschien aan haar ouders vertelt. De spanning is om te snijden.","Jouw rol: steunpilaar. Sta naast haar, houd haar hand vast en lach om de flauwe grapjes van je schoonvader.","Het aan de (schoon)ouders vertellen is een grote mijlpaal. Wees voorbereid op allerlei reacties, van tranen van geluk tot ongevraagd advies.","Jullie lanceren vandaag de 'bom'. De reacties kunnen variëren van een vreugdedans tot een complete 'system meltdown'. Wees op alles voorbereid.","Een framboos die een microfoon vasthoudt, klaar voor een grote aankondiging.","https://www.oudersvannu.nl/zwanger/zwangerschap/wanneer-vertel-je-dat-je-zwanger-bent/"
51,8,"Zo groot als een framboos.","Ze heeft vandaag een 'ik pas niks meer'-crisis, ook al is er nog geen buik te zien.","Tijd voor de 'joggingbroek-upgrade'. Koop een nieuwe, comfortabele broek voor haar. Niet sexy, wel een schot in de roos.","Een opgeblazen gevoel en gevoelige buik kunnen ervoor zorgen dat haar normale kleding al niet meer lekker zit.","Haar kleding en haar buik hebben ruzie. Jij bent de diplomaat die met een vredesvoorstel komt: een zachte, elastische band.","Een spijkerbroek en een joggingbroek die aan het touwtrekken zijn.","https://www.24baby.nl/zwanger/mode-beauty/zwangerschapskleding/"
52,8,"Zo groot als een framboos.","Ze heeft vandaag extra speeksel. Klinkt raar, is het ook. Ze moet vaker slikken.","Merk het niet op. Of als je het opmerkt, zeg er niks over. Sommige dingen zijn te raar voor woorden.","Overmatige speekselproductie (ptyalisme) is een zeldzamer, maar vervelend kwaaltje. Het hangt vaak samen met misselijkheid.","Haar speekselklieren werken overuren. Ze produceren voor een heel elftal.","Een framboos die aan het surfen is op een golf van speeksel.","https://www.babycenter.nl/a549286/overmatige-speekselproductie-tijdens-de-zwangerschap"
53,8,"Zo groot als een framboos.","Ze leest vandaag een artikel over een of andere zeldzame complicatie en is in alle staten.","Sla de laptop dicht. Zeg: 'Dr. Google is een idioot. Laten we onze verloskundige vertrouwen.' Leid haar af met een film.","Te veel informatie zoeken op internet kan leiden tot onnodige angst. Beperk de 'research' tot betrouwbare bronnen.","Het internet is een konijnenhol vol enge verhalen. Jouw taak is om haar af en toe uit dat hol te trekken.","Een man die een laptop dichtklapt waar een spook uit komt.","https://deverloskundige.nl/zwangerschap/subtekstpagina/108/informatie-en-advies/"
54,8,"Zo groot als een framboos.","Ze is vandaag sentimenteel. Ze vindt een oude foto en begint te huilen.","Knuffel. Zeg niks. Laat de emotie er gewoon zijn. Je hoeft het niet op te lossen.","De hormonen versterken alle emoties, zowel positieve als negatieve. Sentimentaliteit hoort daar ook bij.","Haar hart is vandaag een open kraan. De kleinste aanleiding zorgt voor een overstroming.","Een framboos die een traantje wegpinkt bij een oude foto.","https://www.siriz.nl/net-zwanger/emoties-tijdens-je-zwangerschap"
55,8,"Zo groot als een framboos.","Ze heeft vandaag een 'brain fog'. Ze vergeet haar sleutels, haar afspraak, haar eigen naam bijna.","Wees haar geheugensteun. Stuur een appje om haar aan die afspraak te herinneren. Zie jezelf als haar persoonlijke assistent.","'Zwangerschapsbrein' is in volle gang. Haar hersenen zijn druk met andere dingen, dus de 'normale' functies staan op een lager pitje.","De harde schijf in haar hoofd is aan het defragmenteren. Het is een zooitje, maar het komt goed.","Een brein vol met mist en vraagtekens.","https://www.oudersvannu.nl/zwanger/zwangerschapskwalen/zwangerschapsdementie/"
56,8,"Zo groot als een framboos.","De termijnecho komt dichterbij. De zenuwen gieren door haar lijf, en stiekem ook door het jouwe.","Plan iets leuks om te doen ná de echo. Een lunch, een wandeling. Iets om naar uit te kijken, wat de uitslag ook is.","De termijnecho (rond 10-12 weken) is een grote mijlpaal. De uitgerekende datum wordt vastgesteld en je ziet een echt mini-mensje.","Dit is de eerste grote 'apk-keuring' van de baby. Logisch dat de eigenaren (jullie) zenuwachtig zijn.","Een kalender met een grote rode cirkel om de 'echo-dag', met bliksemschichten eromheen.","https://www.24baby.nl/zwanger/onderzoeken/termijnecho/"
57,9,"Zo groot als een olijf. Eentje zonder pit.","Vandaag heeft ze haar eerste 'echte' zwangerschapsbroek gekocht. Het voelt als een nederlaag en een overwinning tegelijk.","Zeg: 'Staat je goed! En ziet er super comfortabel uit.' Comfort is de komende maanden de heilige graal.","De baby is nu officieel geen embryo meer, maar een foetus. Alle essentiële organen zijn aangelegd en beginnen nu te rijpen. De staart is verdwenen.","De kleine heeft een promotie gemaakt! Van 'embryo in opleiding' naar 'junior foetus'. Dit vraagt om een high five (op afstand).","Een olijf met een klein stropdasje om, zittend achter een bureau met 'Foetus' erop.","https://www.24baby.nl/zwanger/zwangerschap-van-week-tot-week/9-weken-zwanger/"
58,9,"Zo groot als een olijf.","De misselijkheid begint bij haar misschien eindelijk wat af te nemen. Ze durft weer een cracker te eten zonder angst.","Wees voorzichtig optimistisch. Juich niet te vroeg. Zeg: 'Fijn dat je je iets beter voelt vandaag.'","Voor veel vrouwen piekt de misselijkheid rond week 9 en neemt daarna langzaam af omdat de placenta de hormoonproductie begint over te nemen.","De hormonenfabriek heeft een nieuwe manager (de placenta) en die heeft de boel wat beter op orde. De misselijkheids-afdeling mag wat rustiger aan doen.","Een groen aangelopen gezichtje dat langzaam weer een normale kleur krijgt.","https://www.oudersvannu.nl/zwanger/zwangerschap/zwangerschap-van-week-tot-week/10-weken-zwanger/"
59,9,"Zo groot als een olijf.","Ze is vandaag geobsedeerd door de vraag of het een jongen of een meisje is. Ze analyseert de vorm van haar buik (die er nog niet is).","Speel het spelletje mee. 'Je draagt hoog, dus het is een...' en verzin dan iets. Het gaat om het meedoen, niet om de wetenschap.","Het geslacht is al bepaald, maar is op een echo nog niet te zien. De uitwendige geslachtsorganen beginnen zich nu te vormen.","De kleine bouwvakker beslist nu of hij een 'extraatje' gaat bouwen of niet. De blauwdrukken zijn definitief.","Een olijf die voor een blauw en een roze deurtje staat te twijfelen.","https://www.babycenter.nl/a25004916/de-ontwikkeling-van-je-baby-9-weken-zwanger"
60,9,"Zo groot als een olijf.","Vandaag voelt ze zich onzeker over alle veranderingen. 'Mijn lichaam is mijn lichaam niet meer.'","Herinner haar eraan dat haar lichaam iets ongelofelijks doet. 'Je lichaam is nu een superhelden-fabriek.'","Het is een enorme mentale stap om te accepteren dat je lichaam 'geleend' wordt voor negen maanden. Dit kan voor een identiteitscrisis zorgen.","Haar lichaam is overgenomen door een nieuwe CEO ({babyName}). Ze is nu de 'facility manager'. Het is een tijdelijke, maar intense functie.","Een vrouw die in de spiegel kijkt en haar eigen lichaam met een 'under construction'-bordje ziet.","https://www.psychologenpraktijkbraam.nl/blog/onzekerheid-over-je-uiterlijk-tijdens-de-zwangerschap"
61,9,"Zo groot als een olijf.","Ze heeft vandaag een 'vreetkick'. Niet per se een craving, maar gewoon... honger. De hele tijd.","Zorg voor gezonde snacks. En ongezonde. Zorg gewoon voor snacks. Altijd. Overal. Jij bent de snack-manager.","Haar lichaam bouwt in een razend tempo en heeft daar brandstof voor nodig. Constante honger is een goed teken.","De motor van de baby-fabriek draait op volle toeren en heeft constant brandstof nodig. Jij bent de man van het tankstation.","Een olijf die met een megafoon 'MEER SNACKS!' roept.","https://www.oudersvannu.nl/zwanger/voeding/eetbuien-tijdens-je-zwangerschap/"
62,9,"Zo groot als een olijf.","Ze heeft vandaag een verstopte neus, maar is niet verkouden. Weer zo'n raar kwaaltje.","Een luchtbevochtiger kan helpen. En neusspray op zoutwaterbasis. Je bent nu ook een KNO-arts in opleiding.","'Zwangerschapsrhinitis' wordt veroorzaakt door een verhoogde bloedtoevoer naar de slijmvliezen in de neus.","Haar neus denkt dat het constant hooikoortsseizoen is.","Een olijf met een rood, verstopte neus.","https://www.24baby.nl/zwanger/zwangerschapskwalen/verstopte-neus-tijdens-zwangerschap/"
63,9,"Zo groot als een olijf.","Vandaag is het 'vertel-het-de-vrienden'-dag. De reacties zijn geweldig, maar ook vermoeiend.","Wees de 'sociale batterij-bewaker'. Als je ziet dat ze moe wordt, kap je het feestje af. 'Tijd voor ons om te gaan, {partnerName} is moe.'","Het nieuws delen met de vriendengroep is leuk, maar kan ook veel energie kosten. Bescherm haar tegen te veel sociale verplichtingen.","Jullie hebben de persconferentie gehouden. Nu is het tijd om terug te trekken in het hoofdkwartier.","Een olijf die omringd is door lachende gezichten, maar er zelf uitgeput uitziet.","https://www.oudersvannu.nl/zwanger/zwangerschap/wanneer-vertel-je-dat-je-zwanger-bent/"
64,10,"Zo groot als een spruitje. Je favoriete groente. Of niet.","Ze voelt zich vandaag wat beter en krijgt een vlaag van overmoed. 'Laten we de hele garage opruimen!'","Rem haar af. 'Goed idee, schat. Laten we beginnen met dat ene hoekje en dan kijken we hoe je je voelt.' Jij bent de projectmanager.","Nu de misselijkheid misschien afneemt, kan de energie terugkomen. Maar haar lichaam is nog steeds hard aan het werk. Overbelasting ligt op de loer.","Ze voelt zich even een superheld. Jouw taak is om te zorgen dat ze haar cape niet verbrandt door te dicht bij de zon te vliegen.","Een spruitje met een superhelden-cape die wordt tegengehouden door een grote hand.","https://www.24baby.nl/zwanger/zwangerschap-van-week-tot-week/10-weken-zwanger/"
65,10,"Zo groot als een spruitje.","Haar tandvlees bloedt bij het tandenpoetsen. Ze schrikt ervan.","Stel haar gerust. Het is normaal. En zorg dat ze naar de tandarts gaat voor een controle. Jij boekt de afspraak.","Door hormonen wordt het tandvlees beter doorbloed en gevoeliger, wat kan leiden tot bloedingen. Een tandartsbezoek is aan te raden.","Haar mond is een overgevoelig gebied geworden. Behandel het met zorg.","Een spruitje dat zijn tanden poetst en schrikt van een druppeltje bloed.","https://www.allesoverhetgebit.nl/alles-over-mondgezondheid/behandelingen/zwangerschap-en-mondgezondheid/"
66,10,"Zo groot als een spruitje.","Ze heeft vandaag voor het eerst naar een kinderwagen gekeken op internet. En schrok van de prijzen.","Zeg: 'Marktplaats wordt onze beste vriend.' En begin je alvast te verdiepen in de wereld van Isofix en driewielers.","De 'baby-uitzet' is een financieel mijnenveld. Begin op tijd met oriënteren en maak een budget.","Jullie gaan een nieuw voertuig aanschaffen. Het heeft meer opties dan jullie auto en kost bijna net zoveel.","Een spruitje dat met grote ogen naar een prijskaartje van een kinderwagen kijkt.","https://www.consumentenbond.nl/kinderwagen/wat-kost-een-babyuitzet"
67,10,"Zo groot als een spruitje.","Haar aderen zijn ineens zichtbaarder. Vooral op haar borsten en buik. Ze voelt zich een wandelende landkaart.","Zeg: 'Dat zijn de snelwegen die de brandstof naar {babyName} brengen. Super efficiënt.'","Het bloedvolume neemt toe, waardoor de aderen uitzetten en beter zichtbaar worden. Het is een teken dat haar lichaam de baby goed ondersteunt.","Haar lichaam legt een heel nieuw wegennet aan om de 'fabriek' te bevoorraden.","Een spruitje dat op een netwerk van blauwe aderen rijdt als op een racebaan.","https://www.24baby.nl/zwanger/zwangerschapskwalen/spataderen-tijdens-zwangerschap/"
68,10,"Zo groot als een spruitje.","Vandaag is ze onhandig. Ze stoot dingen om, laat haar telefoon vallen.","Lach er niet om. (Oké, een beetje mag). Ruim het op en geef haar een knuffel. 'Geeft niks, schat.'","Haar zwaartepunt begint langzaam te veranderen en de 'zwangerschapsmist' in haar hoofd kan haar coördinatie beïnvloeden.","Haar interne gyroscoop is van slag. Ze is tijdelijk gekalibreerd voor een ander lichaam.","Een spruitje dat een kopje koffie omstoot.","https://www.babycenter.nl/a549285/zwangerschapsdementie"
69,10,"Zo groot als een spruitje.","Ze heeft de termijnecho. Ze is doodzenuwachtig.","Jij bent de rust zelve (of je doet alsof). Houd haar hand vast en zeg: 'We gaan zo ons kind zien, hoe cool is dat?'","De termijnecho is een medisch onderzoek, maar ook een ongelofelijk speciaal moment. Je ziet een mini-mensje bewegen.","Vandaag is de première van de film 'Project {babyName}'. En jullie zitten op de eerste rij.","Een echo-scherm waarop een spruitje zwaait.","https://deverloskundige.nl/zwangerschap/subtekstpagina/24/echo-s/"
70,10,"Zo groot als een spruitje.","De echo was goed! De opluchting is immens. Vandaag is een dag van pure blijdschap.","Vier het! Bestel haar favoriete (zwangerschapsproof) eten. Zet haar favoriete film op. Vandaag draait alles om haar.","Na een goede termijnecho valt er vaak een last van de schouders. De kans op een miskraam is nu aanzienlijk kleiner. Het 'veilige' tweede trimester komt eraan.","Level 1 is voltooid. Jullie hebben een 'save point' bereikt. Tijd voor een overwinningsdans.","Een spruitje dat een feestmuts op heeft en met confetti gooit.","https://www.oudersvannu.nl/zwanger/zwangerschap/12-weken-zwanger/"
71,11,"Zo groot als een vijg. Of een flessendop.","Ze durft het nu eindelijk aan de wereld te vertellen. De social media post wordt voorbereid.","Wees de eindredacteur. Check de tekst en de foto. Zorg dat het iets is waar jullie je beiden goed bij voelen.","Rond de 12 weken, na de goede termijnecho, kondigen de meeste mensen de zwangerschap 'officieel' aan.","De persconferentie gaat nu wereldwijd. Bereid je voor op een explosie van likes en ongevraagd advies.","Een vijg die een 'Breaking News' krant vasthoudt.","https://www.oudersvannu.nl/zwanger/zwangerschap/zwangerschap-aankondigen/"
72,11,"Zo groot als een vijg.","De 'zwangerschapsgloed' is nu echt aanwezig. Haar huid straalt.","Geef haar een compliment. 'Je ziet er geweldig uit vandaag.' Wees specifiek. 'Die gloed is geen mythe.'","De verhoogde bloedcirculatie en hormonen kunnen zorgen voor een gezonde, stralende huid.","Haar huid heeft een ingebouwde 'beautify' filter.","Een vijg die straalt en glinstert.","https://www.24baby.nl/zwanger/mode-beauty/zwangerschapsgloed/"
73,11,"Zo groot als een vijg.","Ze begint nu al na te denken over de babykamer. Pinterest staat vol met onbetaalbare ideeën.","Temper de verwachtingen. 'Laten we beginnen met de basis: een bedje, een commode en een goede stoel voor ons.'","De nesteldrang kan nu al beginnen. Het plannen van de babykamer is een leuke, maar soms overweldigende bezigheid.","Ze is nu een interieurarchitect voor een klant die pas over 6 maanden zijn wensen kan doorgeven.","Een vijg met een verfroller in zijn hand, die naar een kleurenpalet kijkt.","https://www.oudersvannu.nl/baby/babykamer/babykamer-inrichten/"
74,11,"Zo groot als een vijg.","Ze heeft last van haar darmen. Krampen, obstipatie. De 'glamoureuze' kant van zwanger zijn.","Zorg voor vezelrijk eten en veel water. En ga samen een blokje om. Beweging helpt.","Het hormoon progesteron verslapt ook de darmspieren, wat de spijsvertering vertraagt en voor obstipatie kan zorgen.","De interne loodgieterij is een beetje verstopt. Vezels en water zijn de beste ontstopper.","Een vijg die met een ontstopper probeert een buis vrij te maken.","https://www.thuisarts.nl/verstopping/ik-ben-zwanger-en-heb-last-van-verstopping"
75,11,"Zo groot als een vijg.","Haar libido kan ineens veranderen. Het kan omhoog schieten, of compleet verdwijnen.","Praat erover. 'Hoe voel jij je?' is een betere vraag dan initiatief nemen en afgewezen worden. Communicatie is alles.","Hormonale schommelingen en lichamelijke veranderingen hebben een grote invloed op het libido. Dit kan per vrouw en per trimester enorm verschillen.","De 'seks-drive' is een auto die soms op een racecircuit rijdt en soms met een lege tank in de garage staat. Vraag even waar hij geparkeerd staat.","Een vijg die verleidelijk knipoogt en een andere vijg die geeuwend wegloopt.","https://www.seksualiteit.nl/onderwerpen/zwangerschap-en-seks/seks-tijdens-de-zwangerschap/"
76,11,"Zo groot als een vijg.","Ze begint zich zorgen te maken over de bevalling. Ze kijkt bevalvideo's. Slecht plan.","Verbied de bevalvideo's. Zeg: 'Laten we een zwangerschapscursus zoeken die bij ons past. Dan zijn we goed voorbereid.'","Angst voor de bevalling is normaal. Goede voorlichting en een cursus kunnen helpen om vertrouwen te krijgen.","Ze kijkt nu naar de trailer van de meest intense horrorfilm ooit. Jij moet de afstandsbediening afpakken en een comedy opzetten.","Een vijg die met grote, angstige ogen naar een laptop kijkt.","https://deverloskundige.nl/bevalling/subtekstpagina/51/je-voorbereiden-op-de-bevalling/"
77,11,"Zo groot als een vijg.","Vandaag voelt ze zich goed. Het tweede trimester, de 'honeymoon-fase' van de zwangerschap, is in zicht.","Geniet van deze periode. Plan een weekendje weg. Een 'babymoon'. De laatste keer met z'n tweeën.","Het tweede trimester (vanaf week 13/14) is vaak de fijnste periode. De misselijkheid is weg, de energie komt terug en de buik zit nog niet in de weg.","Jullie varen nu in rustiger water. De storm van het eerste trimester is voorbij. Geniet van het uitzicht.","Twee vijgen in een hangmat op een tropisch eiland.","https://www.oudersvannu.nl/zwanger/zwangerschap/tweede-trimester/"
78,12,"Zo groot als een frikandel. Ja, echt. Een mini-frikandel.","Het eerste trimester is voorbij! Mijlpaal! De kans op een miskraam is drastisch gedaald.","Vier dit. Een high five. Een knuffel. Misschien zelfs een alcoholvrij biertje. Jullie hebben de eerste grote horde genomen.","Na 12 weken is de meest kritieke fase van de ontwikkeling voorbij. Dit geeft veel aanstaande ouders een gevoel van opluchting.","Jullie hebben het eerste level uitgespeeld. De eindbaas (de misselijkheid) is verslagen. Op naar level 2!","Een frikandel die een medaille om zijn 'nek' heeft.","https://www.24baby.nl/zwanger/zwangerschap-van-week-tot-week/12-weken-zwanger/"
79,12,"Zo groot als een frikandel.","Ze past haar favoriete spijkerbroek niet meer. Dit is een emotioneel moment.","Tijd voor de eerste 'echte' zwangerschapsbroek. Ga samen winkelen. Maak er iets leuks van.","De baarmoeder groeit nu boven het schaambeen uit. Een klein buikje kan zichtbaar worden, waardoor normale broeken niet meer passen.","De oude garde (haar spijkerbroeken) wordt nu met pensioen gestuurd. Tijd voor de nieuwe, flexibele rekruten.","Een spijkerbroek die een traantje wegpinkt en een zwangerschapsbroek een hand geeft.","https://www.oudersvannu.nl/zwanger/shoppen/de-ideale-zwangerschapsbroek/"
80,12,"Zo groot als een frikandel.","Ze heeft een vlaag van hoofdpijn. De hormonale achtbaan is nog niet helemaal stilgevallen.","Een koud washandje, een donkere kamer en een glas water. Je kent het protocol.","Hoofdpijn kan blijven voorkomen. Zorg dat ze genoeg drinkt en rust neemt.","De hormonen geven nog een laatste afterparty voordat het tweede trimester echt begint.","Een frikandel die zijn hoofd vasthoudt.","https://deverloskundige.nl/zwangerschap/subtekstpagina/109/hoofdpijn/"
81,12,"Zo groot als een frikandel.","Ze begint zich af te vragen hoe jij je voelt. 'Vind je het niet eng?'","Wees eerlijk, maar stel gerust. 'Ja, soms wel. Maar ik vind het vooral heel bijzonder. En we doen het samen.'","Jouw gevoelens doen er ook toe. Het is goed om hierover te praten. Het versterkt jullie band.","Ze checkt even bij haar co-piloot. Geef een eerlijk statusrapport. 'Alle systemen zijn 'go', maar de piloot is wel een beetje zenuwachtig.'","Een man en een vrouw die in de cockpit van een vliegtuig zitten en elkaar een 'thumbs up' geven.","https://www.vadercommunity.nl/vaderschap/de-rol-van-de-vader-tijdens-de-zwangerschap/"
82,12,"Zo groot als een frikandel.","Ze heeft vandaag een 'ik-wil-alles-weten'-dag en leest over de NIPT-test.","Lees met haar mee. Bespreek de voors en tegens. Dit is een beslissing die jullie samen nemen.","De NIPT is een bloedtest die kan screenen op chromosomale afwijkingen, zoals het syndroom van Down. Het is een persoonlijke keuze om deze test te doen.","Jullie krijgen de optie voor een extra 'systeemanalyse'. Het is geen verplichting, maar een mogelijkheid. Bespreek als directie wat jullie gaan doen.","Een frikandel die een document met een vergrootglas bestudeert.","https://www.pns.nl/nipt"
83,12,"Zo groot als een frikandel.","Haar buik begint te jeuken. Een teken dat de huid begint op te rekken.","Smeren, smeren, smeren. Koop een goede, neutrale buikolie of -crème. Maak er een dagelijks ritueel van.","De huid van de buik rekt op, wat jeuk kan veroorzaken. Goed hydrateren kan helpen tegen de jeuk en mogelijk striae verminderen.","Haar buik is een landschap dat langzaam verandert. De jeuk is een teken van seismische activiteit.","Een frikandel die wordt ingesmeerd met een grote kwast bodylotion.","https://www.24baby.nl/zwanger/zwangerschapskwalen/jeuk-tijdens-zwangerschap/"
84,12,"Zo groot als een frikandel.","Het weekend begint. Ze heeft energie. Tijd voor een 'babymoon'-plan!","Open een laptop en zoek een leuke, chille bestemming. Niet te ver weg. Een huisje in het bos, een hotel aan zee.","Een laatste weekendje weg met z'n tweeën is een geweldig idee. Doe het in het tweede trimester, als ze zich op haar best voelt.","Plan de laatste missie als 'Team Twee'. Binnenkort worden jullie 'Team Drie' en zijn de missies... anders.","Twee frikandellen die met een cocktail (alcoholvrij) op een strandstoel liggen.","https://www.oudersvannu.nl/zwanger/babymoon-de-leukste-bestemmingen/"
88,13,"Zo groot als een perzik.","Ze begint nu al te praten tegen haar buik. Zachte, lieve woordjes.","Praat ook tegen de buik. Het voelt misschien raar, maar de baby kan trillingen en de toon van je stem al waarnemen. Het is jullie eerste 'gesprek'.","De oren van de baby zijn bijna volledig ontwikkeld. Hij kan geluiden van buiten de baarmoeder, zoals jouw stem, horen.","Je hebt nu een publiek van één. En hij is je grootste fan. Tijd om te oefenen met je 'vader-stem'.","Een perzik met twee grote oren, die luistert naar een man die tegen een buik praat.","https://www.oudersvannu.nl/zwanger/zwangerschap/contact-maken-met-je-baby-in-je-buik/"
89,13,"Zo groot als een perzik.","Ze maakt zich zorgen over striae. Ze smeert zich suf met allerlei dure crèmes.","Jouw taak: smeer haar rug in. De plekken waar ze niet bij kan. Het gaat niet om de crème, het gaat om de aandacht.","Striae is grotendeels erfelijk bepaald. Smeren kan de huid soepel houden, maar is geen wondermiddel.","Haar buik is een canvas dat wordt opgerekt. Er kunnen wat 'scheurtjes' in het schilderij komen. Die horen bij het kunstwerk.","Een man die liefdevol de rug van een zwangere vrouw insmeert.","https.www.etos.nl/advies/zwanger/kwaaltjes/striae-voorkomen/"
90,13,"Zo groot als een perzik.","Ze heeft vandaag een 'ik-mis-wijn'-moment. Vooral op een zonnig terras.","Bestel een mooie, alcoholvrije cocktail voor haar. En proost op de baby. Maak er een feestelijk alternatief van.","Het is normaal dat ze haar 'oude' leven soms mist. Erken dat gevoel, zonder het te problematiseren.","Ze rouwt een beetje om de spontane avonden met wijn. Jouw taak is om te laten zien dat de avonden met een kinderwagen ook leuk kunnen zijn. (Uiteindelijk).","Een vrouw die verdrietig naar een glas wijn kijkt, en een man die haar een kleurrijke alcoholvrije cocktail aanreikt.","https://www.oudersvannu.nl/zwanger/voeding/alcohol-en-zwangerschap/"
91,13,"Zo groot als een perzik.","Het weekend is hier. Tijd voor de 'babymoon'! Even weg met z'n tweeën.","Jouw enige taak dit weekend: haar verwennen. Ontbijt op bed, voetmassage, de afstandsbediening is van haar.","Een babymoon is de perfecte manier om nog even te genieten van de rust en van elkaar, voordat de baby komt.","Dit is de laatste vakantie als 'duo'. Geniet van de stilte. Binnenkort wordt 'stilte' een zeldzaam luxeproduct.","Twee perziken die proosten op een balkon met uitzicht op zee.","https://www.oudersvannu.nl/zwanger/babymoon-de-leukste-bestemmingen/"
92,14,"Zo groot als een blikje bier. Ja, je leest het goed. Proost.","Ze kan vandaag de hik van de baby misschien voor het eerst voelen. Kleine, ritmische schokjes in haar buik.","Leg je hand op haar buik en probeer het te voelen. Het is jullie geheime morsecode.","De baby slikt vruchtwater in en oefent zo zijn ademhaling, wat de hik kan veroorzaken. Het is een goed teken van ontwikkeling.","De kleine heeft de hik. Het is alsof hij alvast oefent voor zijn eerste avondje in de kroeg met jou.","Een blikje bier dat ritmisch schokt.","https://www.24baby.nl/zwanger/zwangerschap-van-week-tot-week/14-weken-zwanger/"
